storm_id,storm_name,num_of_obs,datetime,category,record_identifier,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb,34_kt_ne_nm,34_kt_se_nm,34_kt_sw_nm,34_kt_nw_nm,50_kt_ne_nm,50_kt_se_nm,50_kt_sw_nm,50_kt_nw_nm,64_kt_ne_nm,64_kt_se_nm,64_kt_sw_nm,64_kt_nw_nm,radius_of_max_wind_nm
AL041871,UNNAMED,57,1871-08-26 18:00:00,Tropical Storm,,TS,30.9,-84.5,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,57,1871-08-27 00:00:00,Tropical Depression,,TD,31.3,-84.5,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,17,1871-09-06 06:00:00,1,,HU,28.6,-84.1,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,17,1871-09-06 12:00:00,1,,HU,29.0,-83.3,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,17,1871-09-06 14:00:00,1,L,HU,29.2,-83.0,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,17,1871-09-06 18:00:00,Tropical Storm,,TS,29.6,-82.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,17,1871-09-07 00:00:00,Tropical Storm,,TS,30.2,-81.8,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,17,1871-09-07 06:00:00,Tropical Storm,,TS,30.7,-81.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,17,1871-09-07 12:00:00,Tropical Storm,,TS,31.3,-80.3,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,33,1871-10-05 06:00:00,Tropical Storm,,TS,29.4,-85.3,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,33,1871-10-05 12:00:00,Tropical Storm,,TS,29.8,-84.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,33,1871-10-05 16:00:00,Tropical Storm,L,TS,30.0,-83.9,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,33,1871-10-05 18:00:00,Tropical Storm,,TS,30.2,-83.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,33,1871-10-06 00:00:00,Tropical Storm,,TS,30.8,-83.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,33,1871-10-06 06:00:00,Tropical Storm,,TS,31.3,-82.6,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051872,UNNAMED,28,1872-10-23 00:00:00,Tropical Storm,,TS,26.7,-84.8,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051872,UNNAMED,28,1872-10-23 06:00:00,Tropical Storm,,TS,27.6,-83.3,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051872,UNNAMED,28,1872-10-23 08:00:00,Tropical Storm,L,TS,27.9,-82.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051872,UNNAMED,28,1872-10-23 12:00:00,Tropical Storm,,TS,28.4,-81.8,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051872,UNNAMED,28,1872-10-23 18:00:00,Tropical Storm,,TS,29.0,-80.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051872,UNNAMED,28,1872-10-24 00:00:00,Tropical Storm,,TS,30.0,-79.0,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011873,UNNAMED,8,1873-06-02 06:00:00,Tropical Storm,,TS,30.1,-79.9,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011873,UNNAMED,8,1873-06-02 11:00:00,Tropical Storm,L,TS,30.8,-81.4,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011873,UNNAMED,8,1873-06-02 12:00:00,Tropical Storm,,TS,31.0,-81.8,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031873,UNNAMED,13,1873-09-19 06:00:00,1,,HU,27.9,-86.6,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031873,UNNAMED,13,1873-09-19 12:00:00,1,,HU,29.1,-85.1,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031873,UNNAMED,13,1873-09-19 15:00:00,1,L,HU,29.9,-84.4,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031873,UNNAMED,13,1873-09-19 18:00:00,Tropical Storm,,TS,30.7,-83.4,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041873,UNNAMED,13,1873-09-23 00:00:00,Tropical Storm,,TS,26.0,-84.1,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041873,UNNAMED,13,1873-09-23 06:00:00,Tropical Storm,,TS,27.0,-83.4,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041873,UNNAMED,13,1873-09-23 10:00:00,Tropical Storm,L,TS,27.8,-82.8,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041873,UNNAMED,13,1873-09-23 12:00:00,Tropical Storm,,TS,28.1,-82.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041873,UNNAMED,13,1873-09-23 18:00:00,Tropical Storm,,TS,29.3,-81.3,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041873,UNNAMED,13,1873-09-24 00:00:00,Tropical Storm,,TS,31.1,-79.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051873,UNNAMED,59,1873-10-06 18:00:00,3,,HU,24.7,-84.1,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051873,UNNAMED,59,1873-10-07 00:00:00,3,,HU,26.2,-82.5,100,959,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051873,UNNAMED,59,1873-10-07 01:00:00,3,L,HU,26.5,-82.2,100,959,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25
AL051873,UNNAMED,59,1873-10-07 06:00:00,1,,HU,28.1,-80.3,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,UNNAMED,27,1874-09-27 18:00:00,Tropical Storm,,TS,26.8,-85.1,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,UNNAMED,27,1874-09-28 00:00:00,1,,HU,28.2,-83.6,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,UNNAMED,27,1874-09-28 03:00:00,1,L,HU,29.1,-82.9,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,UNNAMED,27,1874-09-28 06:00:00,Tropical Storm,,TS,29.8,-82.3,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061874,UNNAMED,27,1874-09-28 06:00:00,Tropical Storm,,TS,29.8,-82.3,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041875,UNNAMED,18,1875-09-27 06:00:00,Tropical Storm,,TS,29.7,-86.6,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041875,UNNAMED,18,1875-09-27 12:00:00,Tropical Storm,,TS,30.0,-85.9,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041875,UNNAMED,18,1875-09-27 13:00:00,Tropical Storm,L,TS,30.1,-85.7,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041875,UNNAMED,18,1875-09-27 18:00:00,Tropical Storm,,TS,30.5,-85.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041875,UNNAMED,18,1875-09-28 00:00:00,Tropical Depression,,TD,31.0,-84.0,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051876,UNNAMED,49,1876-10-20 00:00:00,2,,HU,24.7,-81.9,90,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
